League,Year,OBP,SLG,BA,Playoffs,G,OOBP,OSLG,RD
NL,2012,0.328,0.418,0.259,0,162,0.317,0.415,46
NL,2012,0.32,0.389,0.247,1,162,0.306,0.378,100
AL,2012,0.311,0.417,0.247,1,162,0.315,0.403,7
AL,2012,0.315,0.415,0.26,0,162,0.331,0.428,-72
NL,2012,0.302,0.378,0.24,0,162,0.335,0.424,-146
AL,2012,0.318,0.422,0.255,0,162,0.319,0.405,72
NL,2012,0.315,0.411,0.251,1,162,0.305,0.39,81
AL,2012,0.324,0.381,0.251,0,162,0.336,0.43,-178
NL,2012,0.33,0.436,0.274,0,162,0.357,0.47,-132
AL,2012,0.335,0.422,0.268,1,162,0.314,0.402,56
NL,2012,0.302,0.371,0.236,0,162,0.337,0.427,-211
AL,2012,0.317,0.4,0.265,0,162,0.339,0.423,-70
AL,2012,0.332,0.433,0.274,0,162,0.31,0.403,68
NL,2012,0.317,0.374,0.252,0,162,0.31,0.364,40
NL,2012,0.308,0.382,0.244,0,162,0.327,0.399,-115
NL,2012,0.325,0.437,0.259,0,162,0.326,0.414,43
AL,2012,0.325,0.39,0.26,0,162,0.333,0.442,-131
NL,2012,0.316,0.386,0.249,0,162,0.315,0.401,-59
AL,2012,0.337,0.453,0.265,1,162,0.311,0.419,136
AL,2012,0.31,0.404,0.238,1,162,0.306,0.378,99
NL,2012,0.317,0.4,0.255,0,162,0.306,0.407,4
NL,2012,0.304,0.395,0.243,0,162,0.314,0.39,-23
NL,2012,0.319,0.38,0.247,0,162,0.319,0.398,-59
AL,2012,0.296,0.369,0.234,0,162,0.308,0.394,-32
NL,2012,0.327,0.397,0.269,1,162,0.313,0.393,69
NL,2012,0.338,0.421,0.271,1,162,0.313,0.387,117
AL,2012,0.317,0.394,0.24,0,162,0.294,0.352,120
AL,2012,0.334,0.446,0.273,1,162,0.309,0.408,101
AL,2012,0.309,0.407,0.245,0,162,0.335,0.438,-68
NL,2012,0.322,0.428,0.261,1,162,0.303,0.373,137
NL,2011,0.322,0.413,0.25,1,162,0.316,0.409,69
NL,2011,0.308,0.387,0.243,0,162,0.31,0.361,36
AL,2011,0.316,0.413,0.257,0,162,0.341,0.46,-152
AL,2011,0.349,0.461,0.28,0,162,0.322,0.392,138
NL,2011,0.314,0.401,0.256,0,162,0.335,0.413,-102
AL,2011,0.319,0.388,0.252,0,162,0.317,0.397,-52
NL,2011,0.326,0.408,0.256,0,162,0.325,0.415,15
AL,2011,0.317,0.396,0.25,0,162,0.323,0.413,-56
NL,2011,0.329,0.41,0.258,0,162,0.331,0.431,-39
AL,2011,0.34,0.434,0.277,1,162,0.321,0.396,76
NL,2011,0.318,0.388,0.247,0,162,0.316,0.401,-77
NL,2011,0.311,0.374,0.258,0,162,0.337,0.432,-181
AL,2011,0.329,0.415,0.275,0,162,0.337,0.425,-32
AL,2011,0.313,0.402,0.253,0,162,0.313,0.388,34
NL,2011,0.322,0.375,0.257,0,161,0.31,0.371,32
NL,2011,0.325,0.425,0.261,1,162,0.304,0.385,83
AL,2011,0.306,0.36,0.247,0,162,0.34,0.435,-185
NL,2011,0.335,0.391,0.264,0,162,0.332,0.411,-24
AL,2011,0.343,0.444,0.263,1,162,0.322,0.399,210
AL,2011,0.311,0.369,0.244,0,162,0.317,0.378,-34
NL,2011,0.323,0.395,0.253,1,162,0.296,0.361,184
NL,2011,0.309,0.368,0.244,0,162,0.338,0.409,-102
NL,2011,0.305,0.349,0.237,0,162,0.314,0.375,-18
AL,2011,0.292,0.348,0.233,0,162,0.31,0.386,-119
NL,2011,0.303,0.368,0.242,0,162,0.309,0.346,-8
NL,2011,0.341,0.425,0.273,1,162,0.319,0.398,70
AL,2011,0.322,0.402,0.244,1,162,0.303,0.383,93
AL,2011,0.34,0.46,0.283,1,162,0.307,0.392,178
AL,2011,0.317,0.413,0.249,0,162,0.328,0.419,-18
NL,2011,0.309,0.383,0.242,0,161,0.319,0.382,-19
NL,2010,0.325,0.416,0.25,0,162,0.34,0.448,-123
NL,2010,0.339,0.401,0.258,1,162,0.314,0.376,109
AL,2010,0.316,0.386,0.259,0,162,0.336,0.434,-172
AL,2010,0.339,0.451,0.268,0,162,0.327,0.399,74
NL,2010,0.32,0.401,0.257,0,162,0.334,0.398,-82
AL,2010,0.332,0.42,0.268,0,162,0.325,0.395,48
NL,2010,0.338,0.436,0.272,1,162,0.323,0.396,105
AL,2010,0.322,0.378,0.248,0,162,0.342,0.416,-106
NL,2010,0.336,0.425,0.263,0,162,0.326,0.397,53
AL,2010,0.335,0.415,0.268,0,162,0.332,0.4,8
NL,2010,0.321,0.403,0.254,0,162,0.331,0.398,2
NL,2010,0.303,0.362,0.247,0,162,0.33,0.402,-118
AL,2010,0.331,0.399,0.274,0,162,0.342,0.435,-169
AL,2010,0.311,0.39,0.248,0,162,0.327,0.403,-21
NL,2010,0.322,0.379,0.252,0,162,0.316,0.378,-25
NL,2010,0.335,0.424,0.262,0,162,0.338,0.427,-54
AL,2010,0.341,0.422,0.273,1,162,0.317,0.417,110
NL,2010,0.314,0.383,0.249,0,162,0.33,0.394,4
AL,2010,0.35,0.436,0.267,1,162,0.322,0.399,166
AL,2010,0.324,0.378,0.256,0,162,0.313,0.379,37
NL,2010,0.332,0.413,0.26,1,162,0.311,0.405,132
NL,2010,0.304,0.373,0.242,0,162,0.348,0.449,-279
NL,2010,0.317,0.371,0.246,0,162,0.308,0.368,84
AL,2010,0.298,0.339,0.236,0,162,0.313,0.401,-185
NL,2010,0.321,0.408,0.257,1,162,0.313,0.37,114
NL,2010,0.332,0.402,0.263,0,162,0.319,0.387,95
AL,2010,0.333,0.403,0.247,1,162,0.308,0.404,153
AL,2010,0.338,0.419,0.276,1,162,0.319,0.39,100
AL,2010,0.312,0.454,0.248,0,162,0.326,0.405,27
NL,2010,0.318,0.39,0.25,0,162,0.33,0.41,-87
NL,2009,0.324,0.418,0.253,0,162,0.33,0.419,-62
NL,2009,0.339,0.405,0.263,0,162,0.323,0.39,94
AL,2009,0.332,0.415,0.268,0,162,0.353,0.476,-135
AL,2009,0.352,0.454,0.27,1,162,0.335,0.422,136
NL,2009,0.332,0.407,0.255,0,161,0.324,0.391,35
AL,2009,0.329,0.411,0.258,0,162,0.325,0.414,-8
NL,2009,0.318,0.394,0.247,0,162,0.333,0.418,-50
AL,2009,0.339,0.417,0.264,0,162,0.351,0.443,-92
NL,2009,0.343,0.441,0.261,1,162,0.328,0.405,89
AL,1900,0.331,0.416,0.26,0,163,0.336,0.422,-2
NL,2009,0.34,0.416,0.268,0,162,0.333,0.408,6
NL,2009,0.319,0.4,0.26,0,162,0.344,0.44,-127
AL,2009,0.318,0.405,0.259,0,162,0.343,0.422,-156
AL,2009,0.35,0.441,0.285,1,162,0.338,0.432,122
NL,2009,0.346,0.412,0.27,1,162,0.312,0.361,169
NL,2009,0.341,0.426,0.263,0,162,0.345,0.45,-33
AL,2009,0.345,0.429,0.274,1,163,0.331,0.431,52
NL,2009,0.335,0.394,0.27,0,162,0.342,0.418,-86
AL,2009,0.362,0.478,0.283,1,162,0.327,0.408,162
AL,2009,0.328,0.397,0.262,0,162,0.329,0.413,-2
NL,2009,0.334,0.447,0.258,1,162,0.329,0.427,111
NL,2009,0.318,0.387,0.252,0,161,0.346,0.442,-132
NL,2009,0.321,0.381,0.242,0,162,0.333,0.406,-131
AL,2009,0.314,0.402,0.258,0,162,0.316,0.394,-52
NL,2009,0.309,0.389,0.257,0,162,0.314,0.372,46
NL,2009,0.332,0.415,0.263,1,162,0.319,0.386,90
AL,2009,0.343,0.439,0.263,0,162,0.324,0.417,49
AL,2009,0.32,0.445,0.26,0,162,0.331,0.416,44
AL,2009,0.333,0.44,0.266,0,162,0.339,0.434,27
NL,2009,0.337,0.406,0.258,0,162,0.352,0.45,-164
NL,2008,0.327,0.415,0.251,0,162,0.318,0.398,14
NL,2008,0.345,0.408,0.27,0,162,0.336,0.423,-25
AL,2008,0.333,0.429,0.267,0,161,0.361,0.435,-87
AL,2008,0.358,0.447,0.28,1,162,0.323,0.39,151
NL,2008,0.354,0.443,0.278,1,161,0.316,0.395,184
AL,2008,0.332,0.448,0.263,1,163,0.32,0.41,82
NL,2008,0.321,0.408,0.247,0,162,0.345,0.45,-96
AL,2008,0.339,0.424,0.262,0,162,0.33,0.424,44
NL,2008,0.336,0.415,0.263,0,162,0.344,0.431,-75
AL,2008,0.34,0.444,0.271,0,162,0.353,0.437,-36
NL,2008,0.326,0.433,0.254,0,161,0.333,0.407,3
NL,2008,0.323,0.415,0.263,0,161,0.328,0.44,-31
AL,2008,0.32,0.397,0.269,0,162,0.328,0.415,-90
AL,2008,0.33,0.413,0.268,1,162,0.323,0.406,68
NL,2008,0.333,0.399,0.264,1,162,0.315,0.376,52
NL,2008,0.325,0.431,0.253,1,162,0.323,0.406,61
AL,2008,0.34,0.408,0.279,0,163,0.324,0.431,84
NL,2008,0.34,0.42,0.266,0,162,0.331,0.397,84
AL,2008,0.342,0.427,0.271,0,162,0.329,0.405,62
AL,2008,0.318,0.369,0.242,0,161,0.328,0.392,-44
NL,2008,0.332,0.438,0.255,1,162,0.329,0.41,119
NL,2008,0.32,0.403,0.258,0,162,0.362,0.454,-149
NL,2008,0.317,0.39,0.25,0,162,0.332,0.409,-127
AL,2008,0.318,0.389,0.265,0,162,0.351,0.433,-140
NL,2008,0.321,0.382,0.262,0,162,0.341,0.404,-119
NL,2008,0.35,0.433,0.281,0,162,0.332,0.431,54
AL,2008,0.34,0.422,0.26,1,162,0.314,0.4,103
AL,2008,0.354,0.462,0.283,0,162,0.362,0.455,-66
AL,2008,0.331,0.399,0.264,0,162,0.309,0.38,104
NL,2008,0.323,0.373,0.251,0,161,0.343,0.436,-184
NL,2007,0.321,0.413,0.25,1,162,0.334,0.42,-20
NL,2007,0.339,0.435,0.275,0,162,0.327,0.415,77
AL,2007,0.333,0.412,0.272,0,162,0.354,0.412,-112
AL,2007,0.362,0.444,0.279,1,162,0.314,0.392,210
NL,2007,0.333,0.422,0.271,1,162,0.322,0.399,62
AL,2007,0.318,0.404,0.246,0,162,0.338,0.435,-146
NL,2007,0.335,0.436,0.267,0,162,0.343,0.456,-70
AL,2007,0.343,0.428,0.268,1,162,0.322,0.407,107
NL,2007,0.354,0.437,0.28,1,163,0.33,0.423,102
AL,2007,0.345,0.458,0.287,0,162,0.338,0.427,90
NL,2007,0.336,0.448,0.267,0,162,0.364,0.442,-101
NL,2007,0.33,0.412,0.26,0,162,0.337,0.454,-90
AL,2007,0.322,0.388,0.261,0,162,0.339,0.445,-72
AL,2007,0.345,0.417,0.284,1,162,0.328,0.412,91
NL,2007,0.337,0.406,0.275,0,162,0.326,0.399,8
NL,2007,0.329,0.456,0.262,0,162,0.333,0.422,25
AL,2007,0.33,0.391,0.264,0,162,0.324,0.431,-7
NL,2007,0.342,0.432,0.275,0,162,0.329,0.409,54
AL,2007,0.366,0.463,0.29,1,162,0.34,0.417,191
AL,2007,0.338,0.407,0.256,0,162,0.329,0.404,-17
NL,2007,0.354,0.458,0.274,1,162,0.346,0.451,71
NL,2007,0.325,0.411,0.263,0,162,0.352,0.447,-122
NL,2007,0.322,0.411,0.251,0,163,0.311,0.374,75
AL,2007,0.337,0.425,0.287,0,162,0.349,0.431,-19
NL,2007,0.322,0.387,0.254,0,162,0.334,0.405,-37
NL,2007,0.337,0.405,0.274,0,162,0.336,0.431,-104
AL,2007,0.336,0.433,0.268,0,162,0.358,0.467,-162
AL,2007,0.328,0.426,0.263,0,162,0.356,0.423,-28
AL,2007,0.327,0.419,0.259,0,162,0.315,0.391,54
NL,2007,0.325,0.39,0.256,0,162,0.339,0.433,-110
NL,2006,0.331,0.424,0.267,0,162,0.335,0.431,-15
NL,2006,0.337,0.455,0.27,0,162,0.343,0.438,44
AL,2006,0.339,0.424,0.277,0,162,0.357,0.462,-131
AL,2006,0.351,0.435,0.269,0,162,0.343,0.447,-5
NL,2006,0.319,0.422,0.268,0,162,0.342,0.431,-118
AL,2006,0.342,0.464,0.28,0,162,0.326,0.44,74
NL,2006,0.336,0.432,0.257,0,162,0.337,0.457,-52
AL,2006,0.349,0.457,0.28,0,162,0.335,0.431,88
NL,2006,0.341,0.433,0.27,0,162,0.346,0.438,1
AL,2006,0.329,0.449,0.274,1,162,0.321,0.405,147
NL,2006,0.331,0.435,0.264,0,162,0.347,0.423,-14
NL,2006,0.332,0.409,0.255,0,162,0.319,0.421,16
AL,2006,0.332,0.411,0.271,0,162,0.367,0.476,-214
AL,2006,0.334,0.425,0.274,0,162,0.316,0.402,34
NL,2006,0.348,0.432,0.276,1,162,0.33,0.418,69
NL,2006,0.327,0.42,0.258,0,162,0.333,0.438,-103
AL,2006,0.347,0.425,0.287,1,162,0.312,0.423,118
NL,2006,0.334,0.445,0.264,1,162,0.323,0.407,103
AL,2006,0.363,0.461,0.285,1,162,0.326,0.413,163
AL,2006,0.34,0.412,0.26,1,162,0.338,0.422,44
NL,2006,0.347,0.447,0.267,0,162,0.339,0.46,53
NL,2006,0.327,0.397,0.263,0,162,0.357,0.431,-106
NL,2006,0.332,0.416,0.263,1,162,0.312,0.404,52
AL,2006,0.325,0.424,0.272,0,162,0.337,0.432,-36
NL,2006,0.324,0.422,0.259,0,161,0.337,0.415,-44
NL,2006,0.337,0.431,0.269,1,161,0.337,0.443,19
AL,2006,0.314,0.42,0.255,0,162,0.358,0.452,-167
AL,2006,0.338,0.446,0.278,0,162,0.341,0.424,51
AL,2006,0.348,0.463,0.284,0,162,0.328,0.422,55
NL,2006,0.338,0.418,0.262,0,162,0.349,0.447,-126
NL,2005,0.332,0.421,0.256,0,162,0.345,0.455,-160
NL,2005,0.333,0.435,0.265,1,162,0.333,0.406,95
AL,2005,0.327,0.434,0.269,0,162,0.336,0.416,-71
AL,2005,0.357,0.454,0.281,1,162,0.335,0.441,105
NL,2005,0.324,0.44,0.27,0,162,0.325,0.407,-11
AL,2005,0.322,0.425,0.262,1,162,0.31,0.397,96
NL,2005,0.339,0.446,0.261,0,163,0.352,0.483,-69
AL,2005,0.334,0.453,0.271,0,162,0.302,0.387,148
NL,2005,0.333,0.411,0.267,0,162,0.362,0.457,-122
AL,2005,0.321,0.428,0.272,0,162,0.33,0.436,-64
NL,2005,0.339,0.409,0.272,0,162,0.339,0.402,-15
NL,2005,0.322,0.408,0.256,1,163,0.308,0.389,84
AL,2005,0.32,0.396,0.263,0,162,0.362,0.463,-234
AL,2005,0.325,0.409,0.27,1,162,0.312,0.401,118
NL,2005,0.326,0.395,0.253,0,162,0.327,0.429,-70
NL,2005,0.331,0.423,0.259,0,162,0.324,0.408,29
AL,2005,0.323,0.391,0.259,0,162,0.307,0.408,26
NL,2005,0.322,0.416,0.258,0,162,0.321,0.387,74
AL,2005,0.355,0.45,0.276,1,162,0.332,0.422,97
AL,2005,0.33,0.407,0.262,0,162,0.311,0.382,114
NL,2005,0.348,0.423,0.27,0,162,0.32,0.426,81
NL,2005,0.322,0.4,0.259,0,162,0.344,0.424,-89
NL,2005,0.333,0.391,0.257,1,162,0.322,0.408,-42
AL,2005,0.317,0.391,0.256,0,162,0.332,0.422,-52
NL,2005,0.319,0.396,0.261,0,162,0.336,0.412,-96
NL,2005,0.339,0.423,0.27,1,162,0.318,0.398,171
AL,2005,0.329,0.425,0.274,0,162,0.355,0.455,-186
AL,2005,0.329,0.468,0.267,0,162,0.343,0.428,7
AL,2005,0.331,0.407,0.265,0,162,0.324,0.418,70
NL,2005,0.322,0.386,0.252,0,162,0.333,0.396,-34
AL,2004,0.341,0.429,0.282,1,162,0.326,0.415,102
NL,2004,0.31,0.393,0.253,0,162,0.35,0.439,-284
NL,2004,0.343,0.434,0.27,1,162,0.329,0.4,135
AL,2004,0.345,0.432,0.281,0,162,0.348,0.404,12
AL,2004,0.36,0.472,0.282,1,162,0.318,0.408,181
NL,2004,0.328,0.458,0.268,0,162,0.321,0.395,124
AL,2004,0.333,0.457,0.268,0,162,0.338,0.453,34
NL,2004,0.331,0.418,0.25,0,162,0.348,0.481,-157
AL,2004,0.351,0.444,0.276,0,162,0.342,0.445,1
NL,2004,0.345,0.455,0.275,0,162,0.372,0.471,-90
AL,2004,0.7,0.449,0.272,0,162,0.34,0.441,-17
NL,2004,0.329,0.406,0.264,0,162,0.324,0.412,18
NL,2004,0.342,0.436,0.267,1,162,0.328,0.417,105
AL,2004,0.322,0.397,0.259,0,162,0.352,0.476,-185
NL,2004,0.332,0.423,0.262,1,162,0.323,0.408,77
NL,2004,0.321,0.387,0.248,0,161,0.32,0.417,-123
AL,2004,0.332,0.431,0.266,1,162,0.323,0.406,65
NL,2004,0.313,0.392,0.249,0,162,0.342,0.431,-134
NL,2004,0.317,0.409,0.249,0,162,0.335,0.405,-47
AL,2004,0.353,0.458,0.268,1,162,0.328,0.432,89
AL,2004,0.343,0.433,0.27,0,162,0.332,0.409,51
NL,2004,0.345,0.443,0.267,0,162,0.33,0.448,59
NL,2004,0.321,0.401,0.26,0,161,0.342,0.416,-64
NL,2004,0.342,0.414,0.273,0,162,0.318,0.431,63
AL,2004,0.331,0.396,0.27,0,162,0.338,0.441,-125
NL,2004,0.357,0.438,0.27,0,162,0.332,0.423,80
NL,2004,0.344,0.46,0.278,1,162,0.313,0.403,196
AL,2004,0.32,0.405,0.258,0,161,0.342,0.438,-128
AL,2004,0.329,0.457,0.266,0,162,0.344,0.432,66
AL,2004,0.328,0.403,0.26,0,161,0.348,0.434,-104
AL,2003,0.33,0.413,0.268,0,162,0.327,0.421,-7
NL,2003,0.33,0.417,0.263,0,162,0.322,0.388,32
NL,2003,0.349,0.475,0.284,1,162,0.327,0.401,167
AL,2003,0.323,0.405,0.268,0,163,0.346,0.446,-77
AL,2003,0.36,0.491,0.289,1,162,0.327,0.415,152
NL,2003,0.323,0.416,0.259,1,162,0.324,0.372,41
AL,2003,0.331,0.446,0.263,0,162,0.322,0.404,76
NL,2003,0.318,0.395,0.245,0,162,0.349,0.463,-192
AL,2003,0.316,0.401,0.254,0,162,0.329,0.426,-79
NL,2003,0.344,0.445,0.267,0,162,0.359,0.47,-39
AL,2003,0.3,0.375,0.24,0,162,0.352,0.461,-337
NL,2003,0.333,0.421,0.266,1,162,0.325,0.396,59
NL,2003,0.336,0.431,0.263,0,162,0.326,0.397,128
AL,2003,0.336,0.427,0.274,0,162,0.348,0.45,-31
NL,2003,0.303,0.368,0.243,0,162,0.306,0.354,18
NL,2003,0.329,0.419,0.256,0,162,0.348,0.462,-159
AL,2003,0.341,0.431,0.277,1,162,0.319,0.428,43
NL,2003,0.326,0.401,0.258,0,162,0.327,0.423,-5
NL,2003,0.314,0.374,0.247,0,161,0.345,0.438,-112
AL,2003,0.356,0.453,0.271,1,163,0.314,0.407,161
AL,2003,0.327,0.417,0.254,1,162,0.314,0.376,125
NL,2003,0.343,0.419,0.261,0,162,0.327,0.401,94
NL,2003,0.338,0.42,0.267,0,162,0.336,0.431,-48
NL,2003,0.333,0.388,0.261,0,162,0.341,0.437,-153
AL,2003,0.344,0.41,0.271,0,162,0.311,0.388,158
NL,2003,0.338,0.425,0.264,1,161,0.321,0.386,117
NL,2003,0.35,0.454,0.279,0,162,0.336,0.452,80
AL,2003,0.32,0.404,0.265,0,162,0.347,0.44,-137
AL,2003,0.33,0.454,0.266,0,162,0.36,0.473,-143
AL,2003,0.349,0.455,0.279,0,162,0.337,0.441,68
AL,2002,0.341,0.433,0.282,1,162,0.314,0.392,207
NL,2002,0.346,0.423,0.267,1,162,0.305,0.397,145
NL,2002,0.331,0.409,0.26,1,161,0.313,0.364,143
AL,2002,0.309,0.403,0.246,0,162,0.336,0.435,-106
AL,2002,0.345,0.444,0.277,0,162,0.308,0.385,194
NL,2002,0.321,0.413,0.246,0,162,0.331,0.407,-53
AL,2002,0.338,0.449,0.268,0,162,0.33,0.423,58
NL,2002,0.33,0.408,0.253,0,162,0.338,0.426,-65
AL,2002,0.321,0.412,0.249,0,162,0.348,0.423,-98
NL,2002,0.337,0.423,0.274,0,162,0.349,0.466,-120
AL,2002,0.3,0.379,0.248,0,161,0.343,0.455,-289
NL,2002,0.337,0.403,0.261,0,162,0.341,0.415,-64
NL,2002,0.338,0.417,0.262,0,162,0.33,0.41,54
AL,2002,0.323,0.398,0.256,0,162,0.349,0.464,-154
NL,2002,0.32,0.409,0.264,0,162,0.315,0.387,70
NL,2002,0.32,0.39,0.253,0,162,0.352,0.442,-194
AL,2002,0.332,0.437,0.272,1,161,0.318,0.421,56
NL,2002,0.334,0.418,0.261,0,162,0.329,0.421,17
NL,2002,-0.3,0.395,0.256,0,161,0.327,0.403,-13
AL,2002,0.354,0.455,0.275,1,161,0.309,0.395,200
AL,2002,0.339,0.432,0.261,1,162,0.315,0.384,146
NL,2002,0.339,0.422,0.259,0,161,0.328,0.401,-14
NL,2002,0.319,0.381,0.244,0,161,0.342,0.423,-89
NL,2002,0.321,0.381,0.253,0,162,0.346,0.442,-153
AL,2002,0.35,0.419,0.275,0,162,0.315,0.41,115
NL,2002,0.344,0.442,0.267,1,162,0.319,0.372,167
NL,2002,0.338,0.425,0.268,1,162,0.323,0.386,139
AL,2002,0.314,0.39,0.253,0,161,0.357,0.463,-245
AL,2002,0.338,0.455,0.269,0,162,0.355,0.451,-39
AL,2002,0.327,0.43,0.261,0,162,0.344,0.431,-15
AL,2001,0.327,0.405,0.261,0,162,0.331,0.412,-39
NL,2001,0.341,0.442,0.267,1,162,0.311,0.404,141
NL,2001,0.324,0.412,0.26,1,162,0.314,0.384,86
AL,2001,0.319,0.38,0.248,0,162,0.337,0.439,-142
AL,2001,0.334,0.439,0.266,0,161,0.329,0.393,27
NL,2001,0.336,0.43,0.261,0,162,0.321,0.398,76
AL,2001,0.334,0.451,0.268,0,162,0.334,0.427,3
NL,2001,0.324,0.419,0.262,0,162,0.341,0.455,-115
AL,2001,0.35,0.458,0.278,1,162,0.341,0.417,76
NL,2001,0.354,0.483,0.292,0,162,0.35,0.48,17
AL,2001,0.32,0.409,0.26,0,162,0.357,0.461,-152
NL,2001,0.326,0.423,0.264,0,162,0.338,0.411,-2
NL,2001,0.347,0.451,0.271,1,162,0.325,0.437,78
AL,2001,0.318,0.409,0.266,0,162,0.348,0.45,-129
NL,2001,0.323,0.425,0.255,0,162,0.323,0.411,14
NL,2001,0.319,0.426,0.251,0,162,0.35,0.44,-66
AL,2001,0.337,0.433,0.272,0,162,0.325,0.437,5
NL,2001,0.319,0.396,0.253,0,162,0.339,0.441,-142
NL,2001,0.323,0.387,0.249,0,162,0.314,0.419,-71
AL,2001,0.334,0.435,0.267,1,161,0.318,0.398,91
AL,2001,0.345,0.439,0.264,1,162,0.308,0.38,239
NL,2001,0.329,0.414,0.26,0,162,0.329,0.424,27
NL,2001,0.313,0.393,0.247,0,162,0.344,0.433,-201
