League,Year,OBP,SLG,BA,Playoffs,G,OOBP,OSLG,RD
NL,2001,0.336,0.399,0.252,0,162,0.33,0.45,-23
AL,2001,0.36,0.445,0.288,1,162,0.301,0.378,300
NL,2001,0.342,0.46,0.266,0,162,0.329,0.404,51
NL,2001,0.339,0.441,0.27,1,162,0.328,0.428,130
AL,2001,0.32,0.388,0.258,0,162,0.345,0.452,-215
AL,2001,0.344,0.471,0.275,0,162,0.362,0.494,-78
AL,2001,0.325,0.43,0.263,0,162,0.339,0.435,14
AL,2000,0.352,0.472,0.28,0,162,0.351,0.453,-5
NL,2000,0.333,0.429,0.265,0,162,0.326,0.424,38
NL,2000,0.346,0.429,0.271,1,162,0.319,0.402,96
AL,2000,0.341,0.435,0.272,0,162,0.352,0.449,-119
AL,2000,0.341,0.423,0.267,0,162,0.322,0.411,47
NL,2000,0.335,0.411,0.256,0,162,0.348,0.452,-140
AL,2000,0.356,0.47,0.286,1,162,0.346,0.434,139
NL,2000,0.343,0.447,0.274,0,163,0.341,0.438,60
AL,2000,0.367,0.47,0.288,0,162,0.35,0.425,134
NL,2000,0.362,0.455,0.294,0,162,0.354,0.471,71
AL,2000,0.343,0.438,0.275,0,162,0.34,0.443,-4
NL,2000,0.331,0.409,0.262,0,161,0.348,0.429,-66
NL,2000,0.361,0.477,0.278,0,162,0.353,0.476,-6
AL,2000,0.348,0.425,0.288,0,162,0.362,0.474,-51
NL,2000,0.341,0.431,0.257,0,162,0.332,0.407,69
NL,2000,0.325,0.403,0.246,0,163,0.357,0.42,-86
AL,2000,0.337,0.407,0.27,0,162,0.347,0.466,-132
NL,2000,0.326,0.432,0.266,0,162,0.353,0.449,-164
NL,2000,0.346,0.43,0.263,1,162,0.327,0.403,69
AL,2000,0.354,0.45,0.277,1,161,0.336,0.422,57
AL,2000,0.36,0.458,0.27,1,161,0.348,0.423,134
NL,2000,0.329,0.4,0.251,0,162,0.343,0.448,-122
NL,2000,0.339,0.424,0.267,0,162,0.361,0.432,-95
NL,2000,0.33,0.402,0.254,0,162,0.34,0.416,-63
AL,2000,0.361,0.442,0.269,1,162,0.339,0.416,127
NL,2000,0.362,0.472,0.278,1,162,0.342,0.412,178
NL,2000,0.356,0.455,0.27,1,162,0.338,0.434,116
AL,2000,0.329,0.399,0.257,0,161,0.345,0.451,-109
AL,2000,0.352,0.446,0.283,0,162,0.369,0.475,-126
AL,2000,0.341,0.469,0.275,0,162,0.354,0.456,-47
AL,1999,0.322,0.395,0.256,0,162,0.346,0.427,-115
NL,1999,0.347,0.459,0.277,1,162,0.32,0.402,232
NL,1999,0.341,0.436,0.266,1,162,0.314,0.377,179
AL,1999,0.353,0.447,0.279,0,162,0.35,0.441,36
AL,1999,0.35,0.448,0.278,1,162,0.315,0.398,118
NL,1999,0.329,0.42,0.257,0,162,0.346,0.467,-173
AL,1999,0.337,0.429,0.277,0,162,0.353,0.447,-93
NL,1999,0.341,0.451,0.272,0,163,0.324,0.411,154
AL,1999,0.373,0.467,0.289,1,162,0.347,0.439,149
NL,1999,0.348,0.472,0.288,0,162,0.384,0.499,-122
AL,1999,0.326,0.443,0.261,0,161,0.349,0.451,-135
NL,1999,0.325,0.395,0.263,0,162,0.359,0.44,-161
NL,1999,0.355,0.42,0.267,1,162,0.326,0.397,148
AL,1999,0.348,0.433,0.282,0,161,0.365,0.454,-65
NL,1999,0.339,0.42,0.266,0,162,0.336,0.422,6
NL,1999,0.353,0.426,0.273,0,161,0.356,0.457,-71
AL,1999,0.328,0.384,0.264,0,161,0.342,0.465,-159
NL,1999,0.323,0.427,0.265,0,162,0.342,0.418,-135
NL,1999,0.363,0.434,0.279,1,163,0.331,0.418,142
AL,1999,0.366,0.453,0.282,1,162,0.329,0.4,169
AL,1999,0.355,0.446,0.259,0,162,0.344,0.428,47
NL,1999,0.351,0.431,0.275,0,162,0.347,0.447,-5
NL,1999,0.334,0.419,0.259,0,161,0.343,0.42,-7
NL,1999,0.332,0.393,0.252,0,162,0.333,0.43,-71
AL,1999,0.343,0.455,0.269,0,162,0.368,0.454,-46
NL,1999,0.356,0.434,0.271,0,162,0.345,0.423,41
NL,1999,0.338,0.426,0.262,0,161,0.355,0.427,-29
AL,1999,0.343,0.411,0.274,0,162,0.371,0.448,-141
AL,1999,0.361,0.479,0.293,1,162,0.346,0.459,86
AL,1999,0.352,0.457,0.28,0,162,0.353,0.456,21
AL,1998,0.335,0.415,0.272,0,162,,,4
NL,1998,0.314,0.393,0.246,0,162,,,-147
NL,1998,0.342,0.453,0.272,1,162,,,245
AL,1998,0.347,0.447,0.273,0,162,,,32
AL,1998,0.348,0.463,0.28,1,162,,,147
NL,1998,0.337,0.433,0.264,1,163,,,39
AL,1998,0.339,0.444,0.271,0,163,,,-70
NL,1998,0.337,0.402,0.262,0,162,,,-10
AL,1998,0.347,0.448,0.272,1,162,,,71
NL,1998,0.347,0.461,0.291,0,162,,,-29
AL,1998,0.323,0.415,0.264,0,162,,,-141
NL,1998,0.317,0.373,0.248,0,162,,,-256
NL,1998,0.356,0.436,0.28,1,162,,,254
AL,1998,0.324,0.399,0.263,0,161,,,-185
NL,1998,0.31,0.387,0.252,0,162,,,-9
NL,1998,0.33,0.396,0.26,0,162,,,-105
AL,1998,0.328,0.389,0.266,0,162,,,-84
NL,1998,0.31,0.394,0.249,0,162,,,-139
NL,1998,0.33,0.394,0.259,0,162,,,61
AL,1998,0.364,0.46,0.288,1,162,,,309
AL,1998,0.338,0.397,0.257,0,162,,,-62
NL,1998,0.326,0.395,0.264,0,162,,,-95
NL,1998,0.311,0.374,0.254,0,163,,,-68
NL,1998,0.33,0.409,0.253,1,162,,,114
AL,1998,0.345,0.468,0.276,0,161,,,4
NL,1998,0.353,0.421,0.274,0,163,,,106
NL,1998,0.341,0.441,0.258,0,163,,,28
AL,1998,0.321,0.385,0.261,0,162,,,-131
AL,1998,0.357,0.462,0.289,1,162,,,69
AL,1998,0.34,0.448,0.266,0,163,,,48
AL,1997,0.346,0.416,0.272,0,162,,,35
NL,1997,0.343,0.426,0.27,1,162,,,210
AL,1997,0.341,0.429,0.268,1,162,,,131
AL,1997,0.352,0.463,0.291,0,162,,,-6
NL,1997,0.321,0.396,0.263,0,162,,,-72
AL,1997,0.341,0.417,0.273,0,161,,,-54
NL,1997,0.321,0.389,0.253,0,162,,,-113
AL,1997,0.358,0.467,0.286,1,161,,,53
NL,1997,0.357,0.478,0.288,0,162,,,15
AL,1997,0.332,0.415,0.258,0,162,,,-6
NL,1997,0.346,0.395,0.259,1,162,,,71
NL,1997,0.344,0.403,0.259,1,162,,,117
AL,1997,0.333,0.407,0.264,0,161,,,-73
NL,1997,0.33,0.418,0.268,0,162,,,97
AL,1997,0.325,0.398,0.26,0,161,,,-61
AL,1997,0.333,0.409,0.27,0,162,,,-89
NL,1997,0.316,0.425,0.258,0,162,,,-49
NL,1997,0.332,0.405,0.262,0,162,,,68
AL,1997,0.362,0.436,0.287,1,162,,,203
AL,1997,0.339,0.423,0.26,0,162,,,-182
NL,1997,0.322,0.385,0.255,0,162,,,-172
NL,1997,0.329,0.404,0.262,0,162,,,-35
NL,1997,0.342,0.407,0.271,0,162,,,-96
AL,1997,0.355,0.485,0.28,1,162,,,92
NL,1997,0.337,0.414,0.258,1,162,,,-9
NL,1997,0.324,0.396,0.255,0,162,,,-19
AL,1997,0.334,0.438,0.274,0,162,,,-16
AL,1997,0.31,0.389,0.244,0,162,,,-40
NL,1996,0.333,0.432,0.27,1,162,,,125
AL,1996,0.35,0.472,0.274,1,163,,,46
AL,1996,0.359,0.457,0.283,0,162,,,7
AL,1996,0.339,0.431,0.276,0,161,,,-181
NL,1996,0.32,0.401,0.251,0,162,,,1
AL,1996,0.36,0.447,0.281,0,162,,,104
NL,1996,0.331,0.422,0.256,0,162,,,5
AL,1996,0.369,0.475,0.293,1,161,,,183
NL,1996,0.355,0.472,0.287,0,162,,,-3
AL,1996,0.323,0.42,0.256,0,162,,,-320
NL,1996,0.329,0.393,0.257,0,162,,,-15
NL,1996,0.336,0.397,0.262,0,162,,,-39
AL,1996,0.332,0.398,0.267,0,161,,,-40
NL,1996,0.316,0.384,0.252,1,162,,,51
AL,1996,0.353,0.441,0.279,0,162,,,-5
AL,1996,0.357,0.425,0.288,0,162,,,-23
NL,1996,0.327,0.406,0.262,0,162,,,73
NL,1996,0.324,0.412,0.27,0,162,,,-33
AL,1996,0.36,0.436,0.288,1,162,,,84
AL,1996,0.344,0.452,0.265,0,162,,,-39
NL,1996,0.325,0.387,0.256,0,162,,,-140
NL,1996,0.329,0.407,0.266,0,162,,,-57
NL,1996,0.338,0.402,0.265,1,162,,,89
AL,1996,0.366,0.484,0.287,0,161,,,98
NL,1996,0.331,0.388,0.253,0,162,,,-110
NL,1996,0.33,0.407,0.267,1,162,,,53
AL,1996,0.358,0.469,0.284,1,163,,,129
AL,1996,0.331,0.42,0.259,0,162,,,-43
NL,1993,0.331,0.408,0.262,1,162,,,208
AL,1993,0.346,0.413,0.267,0,162,,,41
AL,1993,0.33,0.395,0.264,0,162,,,-12
AL,1993,0.331,0.38,0.26,0,162,,,-86
NL,1993,0.325,0.414,0.27,0,163,,,-1
AL,1993,0.338,0.411,0.265,1,162,,,112
NL,1993,0.324,0.396,0.264,0,162,,,-63
AL,1993,0.335,0.409,0.275,0,162,,,-23
NL,1993,0.323,0.422,0.273,0,162,,,-209
AL,1993,0.362,0.434,0.275,0,162,,,62
NL,1993,0.314,0.346,0.248,0,162,,,-143
NL,1993,0.33,0.409,0.267,0,162,,,86
AL,1993,0.32,0.397,0.263,0,162,,,-19
NL,1993,0.321,0.383,0.261,0,162,,,13
AL,1993,0.328,0.378,0.258,0,162,,,-59
AL,1993,0.327,0.385,0.264,0,162,,,-137
NL,1993,0.326,0.386,0.257,0,163,,,50
NL,1993,0.305,0.39,0.248,0,162,,,-72
AL,1993,0.353,0.435,0.279,0,162,,,60
AL,1993,0.33,0.394,0.254,0,162,,,-131
NL,1993,0.351,0.426,0.274,1,162,,,137
NL,1993,0.335,0.393,0.267,0,162,,,-99
NL,1993,0.312,0.389,0.252,0,162,,,-93
AL,1993,0.339,0.406,0.26,0,162,,,3
NL,1993,0.34,0.427,0.276,0,162,,,172
NL,1993,0.341,0.395,0.272,0,162,,,14
AL,1993,0.329,0.431,0.267,0,162,,,84
AL,1993,0.35,0.436,0.279,1,162,,,105
NL,1992,0.316,0.388,0.254,1,162,,,113
AL,1992,0.34,0.398,0.259,0,162,,,49
AL,1992,0.321,0.347,0.246,0,162,,,-70
AL,1992,0.301,0.338,0.243,0,162,,,-92
NL,1992,0.307,0.364,0.254,0,162,,,-31
AL,1992,0.336,0.383,0.261,0,162,,,48
NL,1992,0.328,0.382,0.26,0,162,,,51
AL,1992,0.323,0.383,0.266,0,162,,,-72
AL,1992,0.337,0.407,0.256,0,162,,,-3
NL,1992,0.313,0.359,0.246,0,162,,,-60
AL,1992,0.315,0.364,0.256,0,162,,,-57
NL,1992,0.313,0.339,0.248,0,162,,,-88
AL,1992,0.33,0.375,0.268,0,162,,,136
AL,1992,0.341,0.391,0.277,0,162,,,94
NL,1992,0.313,0.37,0.252,0,162,,,67
NL,1992,0.31,0.342,0.235,0,162,,,-54
AL,1992,0.328,0.406,0.261,0,162,,,-13
AL,1992,0.346,0.386,0.258,1,162,,,73
NL,1992,0.32,0.377,0.253,0,162,,,-31
NL,1992,0.324,0.381,0.255,1,162,,,98
NL,1992,0.313,0.386,0.255,0,162,,,-19
AL,1992,0.323,0.402,0.263,0,162,,,-120
NL,1992,0.302,0.355,0.244,0,162,,,-73
NL,1992,0.323,0.375,0.262,0,162,,,27
AL,1992,0.321,0.393,0.25,0,162,,,-71
AL,1992,0.333,0.414,0.263,1,162,,,98
NL,1991,0.328,0.393,0.258,1,162,,,105
AL,1991,0.319,0.401,0.254,0,162,,,-110
AL,1991,0.34,0.401,0.269,0,162,,,19
AL,1991,0.314,0.374,0.255,0,162,,,4
NL,1991,0.309,0.39,0.253,0,160,,,-39
AL,1991,0.336,0.391,0.262,0,162,,,77
NL,1991,0.32,0.403,0.258,0,162,,,-2
AL,1991,0.313,0.35,0.254,0,162,,,-183
AL,1991,0.333,0.416,0.247,0,162,,,23
NL,1991,0.309,0.347,0.244,0,162,,,-112
AL,1991,0.328,0.394,0.264,0,162,,,5
NL,1991,0.326,0.359,0.253,0,162,,,100
AL,1991,0.336,0.396,0.271,0,162,,,55
AL,1991,0.344,0.42,0.28,1,162,,,124
NL,1991,0.308,0.357,0.246,0,161,,,-76
NL,1991,0.317,0.365,0.244,0,161,,,-6
AL,1991,0.316,0.387,0.256,0,162,,,-103
AL,1991,0.331,0.389,0.248,0,162,,,-16
NL,1991,0.303,0.358,0.241,0,162,,,-51
NL,1991,0.338,0.398,0.263,1,162,,,136
NL,1991,0.31,0.362,0.244,0,162,,,-10
AL,1991,0.328,0.383,0.255,0,162,,,28
NL,1991,0.309,0.381,0.246,0,162,,,-48
NL,1991,0.322,0.357,0.255,0,162,,,3
AL,1991,0.341,0.424,0.27,0,162,,,15
AL,1991,0.322,0.4,0.257,1,162,,,62
NL,1990,0.311,0.396,0.25,0,162,,,-139
AL,1990,0.33,0.37,0.245,0,161,,,-29
AL,1990,0.344,0.395,0.272,1,162,,,35
AL,1990,0.329,0.391,0.26,0,162,,,-16
NL,1990,0.314,0.392,0.263,0,162,,,-84
AL,1990,0.32,0.379,0.258,0,162,,,49
NL,1990,0.325,0.399,0.265,1,162,,,96
AL,1990,0.324,0.391,0.267,0,162,,,-5
AL,1990,0.337,0.409,0.259,0,162,,,-4
NL,1990,0.313,0.345,0.242,0,162,,,-83
AL,1990,0.328,0.395,0.267,0,161,,,-2
NL,1990,0.328,0.382,0.262,0,162,,,43
AL,1990,0.32,0.384,0.256,0,162,,,-28
AL,1990,0.324,0.385,0.265,0,162,,,-63
NL,1990,0.322,0.37,0.25,0,162,,,64
NL,1990,0.323,0.408,0.256,0,162,,,162
AL,1990,0.3,0.366,0.241,0,162,,,-146
AL,1990,0.336,0.391,0.254,1,162,,,163
NL,1990,0.327,0.363,0.255,0,162,,,-83
NL,1990,0.33,0.405,0.259,1,162,,,114
NL,1990,0.32,0.38,0.257,0,162,,,0
AL,1990,0.333,0.373,0.259,0,162,,,-40
NL,1990,0.323,0.396,0.262,0,162,,,9
NL,1990,0.32,0.358,0.256,0,162,,,-99
AL,1990,0.331,0.376,0.259,0,162,,,-20
AL,1990,0.328,0.419,0.265,0,162,,,106
NL,1989,0.298,0.35,0.234,0,161,,,-96
AL,1989,0.326,0.379,0.252,0,162,,,22
AL,1989,0.351,0.403,0.277,0,162,,,39
AL,1989,0.311,0.386,0.256,0,162,,,91
NL,1989,0.319,0.387,0.261,1,162,,,79
AL,1989,0.328,0.383,0.271,0,161,,,-57
NL,1989,0.309,0.37,0.247,0,162,,,-59
AL,1989,0.31,0.365,0.245,0,162,,,-50
AL,1989,0.318,0.351,0.242,0,162,,,-199
NL,1989,0.306,0.345,0.239,0,162,,,-22
AL,1989,0.329,0.373,0.261,0,162,,,55
NL,1989,0.306,0.339,0.24,0,160,,,18
AL,1989,0.318,0.382,0.259,0,162,,,28
AL,1989,0.334,0.402,0.276,0,162,,,2
NL,1989,0.319,0.361,0.247,0,162,,,2
NL,1989,0.311,0.385,0.246,0,162,,,88
AL,1989,0.331,0.391,0.269,0,161,,,-94
AL,1989,0.331,0.381,0.261,1,162,,,136
NL,1989,0.314,0.364,0.243,0,163,,,-106
NL,1989,0.311,0.359,0.241,0,164,,,-43
NL,1989,0.319,0.369,0.251,0,162,,,16
AL,1989,0.32,0.384,0.257,0,162,,,-34
NL,1989,0.316,0.39,0.25,1,162,,,99
NL,1989,0.321,0.363,0.258,0,164,,,24
AL,1989,0.326,0.394,0.263,0,162,,,-19
AL,1989,0.323,0.398,0.26,1,162,,,80
NL,1988,0.298,0.348,0.242,0,160,,,-186
AL,1988,0.305,0.359,0.238,0,161,,,-239
AL,1988,0.357,0.42,0.283,1,162,,,124
AL,1988,0.321,0.385,0.261,0,162,,,-57
NL,1988,0.31,0.383,0.261,0,163,,,-34
AL,1988,0.303,0.37,0.244,0,161,,,-126
NL,1988,0.309,0.368,0.246,0,161,,,45
AL,1988,0.314,0.387,0.261,0,162,,,-65
AL,1988,0.324,0.378,0.25,0,162,,,45
NL,1988,0.306,0.351,0.244,0,162,,,-14
AL,1988,0.321,0.391,0.259,0,161,,,56
NL,1988,0.305,0.352,0.248,1,162,,,84
AL,1988,0.314,0.375,0.257,0,162,,,66
AL,1988,0.34,0.421,0.274,0,162,,,87
NL,1988,0.309,0.373,0.251,0,163,,,36
NL,1988,0.325,0.396,0.256,1,160,,,171
AL,1988,0.333,0.395,0.263,0,161,,,24
AL,1988,0.336,0.399,0.263,1,162,,,180
NL,1988,0.306,0.355,0.239,0,162,,,-137
NL,1988,0.317,0.369,0.247,0,160,,,35
NL,1988,0.31,0.351,0.247,0,161,,,11
AL,1988,0.317,0.398,0.257,0,161,,,-80
NL,1988,0.318,0.368,0.248,0,162,,,44
NL,1988,0.309,0.337,0.249,0,162,,,-55
AL,1988,0.32,0.368,0.252,0,161,,,-98
AL,1988,0.332,0.419,0.268,0,162,,,83
NL,1987,0.339,0.403,0.258,0,161,,,-82
AL,1987,0.322,0.418,0.258,0,162,,,-151
AL,1987,0.352,0.43,0.278,0,162,,,17
AL,1987,0.326,0.401,0.252,0,162,,,-33
NL,1987,0.326,0.432,0.264,0,161,,,-81
AL,1987,0.319,0.415,0.258,0,162,,,2
NL,1987,0.33,0.427,0.266,0,162,,,31
AL,1987,0.324,0.422,0.263,0,162,,,-215
AL,1987,0.349,0.451,0.272,1,162,,,161
NL,1987,0.318,0.373,0.253,0,162,,,-30
AL,1987,0.328,0.412,0.262,0,162,,,24
NL,1987,0.309,0.371,0.252,0,162,,,-40
AL,1987,0.346,0.428,0.276,0,162,,,45
AL,1987,0.328,0.43,0.261,1,162,,,-20
NL,1987,0.328,0.401,0.265,0,162,,,21
NL,1987,0.339,0.434,0.268,0,162,,,125
AL,1987,0.336,0.418,0.262,0,162,,,30
AL,1987,0.333,0.428,0.26,0,162,,,17
NL,1987,0.327,0.41,0.254,0,162,,,-47
NL,1987,0.33,0.403,0.264,0,162,,,-21
NL,1987,0.332,0.378,0.26,0,162,,,-95
AL,1987,0.335,0.428,0.272,0,162,,,-41
NL,1987,0.324,0.43,0.26,1,162,,,114
NL,1987,0.34,0.378,0.263,1,162,,,105
AL,1987,0.333,0.43,0.266,0,162,,,-26
AL,1987,0.336,0.446,0.269,0,162,,,190
NL,1986,0.319,0.381,0.25,0,161,,,-104
AL,1986,0.327,0.395,0.258,0,162,,,-52
AL,1986,0.346,0.415,0.271,1,161,,,98
AL,1986,0.338,0.404,0.255,1,162,,,102
NL,1986,0.318,0.398,0.256,0,160,,,-101
AL,1986,0.31,0.363,0.247,0,162,,,-55
NL,1986,0.325,0.387,0.254,0,162,,,15
AL,1986,0.337,0.43,0.284,0,163,,,-10
AL,1986,0.338,0.424,0.263,0,162,,,84
NL,1986,0.322,0.381,0.255,1,162,,,85
AL,1986,0.313,0.39,0.252,0,162,,,-19
NL,1986,0.313,0.37,0.251,0,162,,,-41
AL,1986,0.321,0.385,0.255,0,161,,,-67
AL,1986,0.325,0.428,0.261,0,162,,,-98
NL,1986,0.322,0.379,0.254,0,161,,,-51
NL,1986,0.339,0.401,0.263,1,162,,,205
AL,1986,0.347,0.43,0.271,0,162,,,59
AL,1986,0.322,0.39,0.252,0,162,,,-29
NL,1986,0.327,0.4,0.253,0,161,,,26
NL,1986,0.321,0.374,0.25,0,162,,,-37
NL,1986,0.321,0.388,0.261,0,162,,,-67
AL,1986,0.326,0.399,0.253,0,162,,,-117
NL,1986,0.322,0.375,0.253,0,162,,,80
NL,1986,0.309,0.327,0.236,0,161,,,-10
AL,1986,0.331,0.428,0.267,0,162,,,28
AL,1986,0.329,0.427,0.269,0,163,,,76
NL,1985,0.315,0.363,0.246,0,162,,,-149
AL,1985,0.336,0.43,0.263,0,161,,,54
AL,1985,0.347,0.429,0.282,0,163,,,80
AL,1985,0.333,0.386,0.251,0,162,,,29
NL,1985,0.324,0.39,0.254,0,162,,,-43
AL,1985,0.315,0.392,0.253,0,163,,,16
NL,1985,0.327,0.376,0.255,0,162,,,11
AL,1985,0.324,0.385,0.265,0,162,,,-132
AL,1985,0.318,0.424,0.253,0,161,,,41
NL,1985,0.319,0.388,0.261,0,162,,,15
AL,1985,0.313,0.401,0.252,1,162,,,48
NL,1985,0.328,0.382,0.261,1,162,,,103
AL,1985,0.319,0.379,0.263,0,161,,,-112
AL,1985,0.326,0.407,0.264,0,162,,,-77
NL,1985,0.31,0.375,0.247,0,161,,,-3
NL,1985,0.323,0.385,0.257,0,162,,,127
AL,1985,0.344,0.425,0.267,0,161,,,179
AL,1985,0.325,0.401,0.264,0,162,,,-30
NL,1985,0.312,0.383,0.245,0,162,,,-6
NL,1985,0.311,0.347,0.247,0,161,,,-140
NL,1985,0.32,0.368,0.255,0,162,,,28
AL,1985,0.326,0.412,0.255,0,162,,,-99
NL,1985,0.299,0.348,0.233,0,162,,,-118
NL,1985,0.335,0.379,0.264,1,162,,,175
AL,1985,0.322,0.381,0.253,0,161,,,-168
AL,1985,0.331,0.425,0.269,1,161,,,171
NL,1984,0.317,0.361,0.247,0,162,,,-23
AL,1984,0.328,0.391,0.252,0,162,,,14
AL,1984,0.341,0.441,0.283,0,162,,,46
AL,1984,0.319,0.381,0.249,0,162,,,-1
NL,1984,0.331,0.397,0.26,1,161,,,104
AL,1984,0.314,0.395,0.247,0,162,,,-57
NL,1984,0.313,0.356,0.244,0,162,,,-120
AL,1984,0.335,0.384,0.265,0,163,,,-5
AL,1984,0.342,0.432,0.271,1,162,,,186
NL,1984,0.323,0.371,0.264,0,162,,,63
AL,1984,0.317,0.399,0.268,1,162,,,-13
NL,1984,0.306,0.348,0.244,0,162,,,-20
AL,1984,0.317,0.37,0.262,0,161,,,-93
AL,1984,0.318,0.385,0.265,0,162,,,-2
NL,1984,0.312,0.362,0.251,0,161,,,8
NL,1984,0.32,0.369,0.257,0,162,,,-24
AL,1984,0.339,0.404,0.276,0,162,,,79
AL,1984,0.327,0.404,0.259,0,162,,,-58
NL,1984,0.333,0.407,0.266,0,162,,,30
NL,1984,0.31,0.363,0.255,0,162,,,48
NL,1984,0.317,0.371,0.259,1,162,,,52
AL,1984,0.324,0.384,0.258,0,162,,,-92
NL,1984,0.328,0.375,0.265,0,162,,,-125
NL,1984,0.317,0.351,0.252,0,162,,,7
AL,1984,0.313,0.377,0.261,0,161,,,-58
AL,1984,0.331,0.421,0.273,0,163,,,54
NL,1983,0.341,0.4,0.272,0,162,,,106
AL,1983,0.34,0.421,0.269,1,162,,,147
AL,1983,0.335,0.409,0.27,0,162,,,-51
AL,1983,0.322,0.393,0.26,0,162,,,-57
NL,1983,0.319,0.401,0.261,0,162,,,-18
AL,1983,0.329,0.413,0.262,1,162,,,150
NL,1983,0.314,0.356,0.239,0,162,,,-87
AL,1983,0.338,0.369,0.265,0,162,,,-81
AL,1983,0.335,0.427,0.274,0,162,,,110
NL,1983,0.32,0.375,0.257,0,162,,,-3
AL,1983,0.32,0.397,0.271,0,163,,,-71
NL,1983,0.318,0.379,0.25,1,163,,,45
AL,1983,0.333,0.418,0.277,0,162,,,56
AL,1983,0.319,0.401,0.261,0,162,,,-113
NL,1983,0.326,0.386,0.264,0,163,,,31
