League,Year,OBP,SLG,BA,Playoffs,G,OOBP,OSLG,RD
NL,1983,0.3,0.344,0.241,0,162,,,-105
AL,1983,0.337,0.416,0.273,0,162,,,67
AL,1983,0.326,0.381,0.262,0,162,,,-74
NL,1983,0.329,0.373,0.249,1,163,,,61
NL,1983,0.325,0.383,0.264,0,162,,,11
NL,1983,0.311,0.351,0.25,0,163,,,0
AL,1983,0.301,0.36,0.24,0,162,,,-182
NL,1983,0.325,0.375,0.247,0,162,,,-10
NL,1983,0.335,0.384,0.27,0,162,,,-31
AL,1983,0.31,0.366,0.255,0,163,,,30
AL,1983,0.338,0.436,0.277,0,162,,,69
NL,1982,0.325,0.383,0.256,1,162,,,37
AL,1982,0.341,0.419,0.266,0,163,,,87
AL,1982,0.34,0.407,0.274,0,162,,,40
AL,1982,0.347,0.433,0.274,1,162,,,144
NL,1982,0.317,0.375,0.26,0,162,,,-33
AL,1982,0.337,0.413,0.273,0,162,,,76
NL,1982,0.31,0.35,0.251,0,162,,,-116
AL,1982,0.341,0.373,0.262,0,162,,,-65
AL,1982,0.324,0.418,0.266,0,162,,,44
NL,1982,0.302,0.349,0.247,0,162,,,-51
AL,1982,0.337,0.428,0.285,0,162,,,67
NL,1982,0.327,0.388,0.264,0,162,,,79
AL,1982,0.335,0.455,0.279,1,163,,,174
AL,1982,0.316,0.396,0.257,0,162,,,-162
NL,1982,0.325,0.396,0.262,0,162,,,81
NL,1982,0.305,0.35,0.247,0,162,,,-114
AL,1982,0.328,0.398,0.256,0,162,,,-7
AL,1982,0.309,0.367,0.236,0,162,,,-128
NL,1982,0.323,0.376,0.26,0,162,,,10
NL,1982,0.327,0.408,0.273,0,162,,,28
NL,1982,0.311,0.359,0.257,0,162,,,17
AL,1982,0.311,0.381,0.254,0,162,,,-61
NL,1982,0.327,0.376,0.253,0,162,,,-14
NL,1982,0.334,0.364,0.264,1,162,,,76
AL,1982,0.308,0.359,0.249,0,162,,,-159
AL,1982,0.314,0.383,0.262,0,162,,,-50
NL,1980,0.307,0.38,0.25,0,161,,,-30
AL,1980,0.342,0.413,0.273,0,162,,,165
AL,1980,0.34,0.436,0.283,0,160,,,-10
AL,1980,0.332,0.378,0.265,0,160,,,-99
NL,1980,0.309,0.365,0.251,0,162,,,-114
AL,1980,0.311,0.37,0.259,0,162,,,-135
NL,1980,0.327,0.386,0.262,0,163,,,37
AL,1980,0.35,0.381,0.277,0,160,,,-69
AL,1980,0.348,0.409,0.273,0,163,,,73
NL,1980,0.326,0.367,0.261,1,163,,,48
AL,1980,0.345,0.413,0.286,1,162,,,115
NL,1980,0.323,0.388,0.263,0,163,,,72
AL,1980,0.329,0.448,0.275,0,162,,,129
AL,1980,0.319,0.381,0.265,0,161,,,-54
NL,1980,0.324,0.388,0.257,0,162,,,65
NL,1980,0.319,0.345,0.257,0,162,,,-91
AL,1980,0.343,0.425,0.267,1,162,,,158
AL,1980,0.322,0.385,0.259,0,162,,,44
NL,1980,0.327,0.4,0.27,1,162,,,89
NL,1980,0.322,0.388,0.266,0,162,,,20
NL,1980,0.324,0.342,0.255,0,163,,,-63
AL,1980,0.308,0.356,0.248,0,163,,,-183
NL,1980,0.308,0.342,0.244,0,161,,,-61
NL,1980,0.328,0.4,0.275,0,162,,,28
AL,1980,0.339,0.405,0.284,0,163,,,4
AL,1980,0.309,0.383,0.251,0,162,,,-138
NL,1979,0.318,0.377,0.256,0,160,,,-94
AL,1979,0.336,0.419,0.261,1,159,,,175
AL,1979,0.344,0.456,0.283,0,160,,,130
AL,1979,0.351,0.429,0.282,1,162,,,98
NL,1979,0.329,0.403,0.269,0,162,,,-1
AL,1979,0.333,0.41,0.275,0,160,,,-18
NL,1979,0.338,0.396,0.264,1,161,,,87
AL,1979,0.34,0.384,0.258,0,161,,,-45
AL,1979,0.339,0.415,0.269,0,161,,,32
NL,1979,0.315,0.344,0.256,0,162,,,1
AL,1979,0.343,0.422,0.282,0,162,,,35
NL,1979,0.331,0.412,0.263,0,162,,,22
AL,1979,0.345,0.448,0.28,0,161,,,85
AL,1979,0.341,0.402,0.278,0,162,,,39
NL,1979,0.319,0.408,0.264,0,160,,,120
NL,1979,0.313,0.35,0.25,0,163,,,-113
AL,1979,0.328,0.406,0.266,0,160,,,62
AL,1979,0.302,0.346,0.239,0,162,,,-287
NL,1979,0.34,0.396,0.266,0,163,,,-35
NL,1979,0.33,0.416,0.272,1,163,,,132
NL,1979,0.311,0.348,0.242,0,161,,,-78
AL,1979,0.331,0.404,0.269,0,162,,,-109
NL,1979,0.319,0.365,0.246,0,162,,,-79
NL,1979,0.331,0.401,0.278,0,163,,,38
AL,1979,0.334,0.409,0.278,0,162,,,52
AL,1979,0.311,0.363,0.251,0,162,,,-249
NL,1978,0.315,0.363,0.244,0,162,,,-150
AL,1978,0.326,0.396,0.258,0,161,,,26
AL,1978,0.336,0.424,0.267,0,163,,,139
AL,1978,0.33,0.37,0.259,0,162,,,25
NL,1978,0.331,0.361,0.264,0,162,,,-60
AL,1978,0.317,0.379,0.264,0,161,,,-97
NL,1978,0.334,0.393,0.256,0,161,,,22
AL,1978,0.323,0.379,0.261,0,159,,,-55
AL,1978,0.339,0.392,0.271,0,162,,,61
NL,1978,0.313,0.355,0.258,0,162,,,-29
AL,1978,0.329,0.399,0.268,1,162,,,109
NL,1978,0.338,0.402,0.264,1,162,,,154
AL,1978,0.339,0.432,0.276,0,162,,,154
AL,1978,0.339,0.375,0.267,0,162,,,-12
NL,1978,0.306,0.379,0.254,0,162,,,22
NL,1978,0.314,0.352,0.245,0,162,,,-83
AL,1978,0.329,0.388,0.267,1,163,,,153
AL,1978,0.303,0.351,0.245,0,162,,,-158
NL,1978,0.328,0.388,0.258,1,162,,,122
NL,1978,0.32,0.385,0.257,0,161,,,47
NL,1978,0.321,0.348,0.252,0,162,,,-7
AL,1978,0.314,0.359,0.248,0,160,,,-220
NL,1978,0.318,0.374,0.248,0,162,,,19
NL,1978,0.303,0.358,0.249,0,162,,,-57
AL,1978,0.332,0.381,0.253,0,162,,,60
AL,1978,0.308,0.359,0.25,0,161,,,-185
NL,1977,0.32,0.376,0.254,0,162,,,-217
AL,1977,0.329,0.393,0.261,0,161,,,66
AL,1977,0.345,0.465,0.281,0,161,,,147
AL,1977,0.324,0.386,0.255,0,162,,,-20
NL,1977,0.33,0.387,0.266,0,162,,,-47
AL,1977,0.344,0.444,0.278,0,162,,,73
NL,1977,0.345,0.436,0.274,0,162,,,77
AL,1977,0.334,0.38,0.269,0,161,,,-63
AL,1977,0.318,0.41,0.264,0,162,,,-37
NL,1977,0.32,0.385,0.254,0,162,,,30
AL,1977,0.34,0.436,0.277,1,162,,,171
NL,1977,0.336,0.418,0.266,1,162,,,187
AL,1977,0.314,0.389,0.258,0,162,,,-126
AL,1977,0.348,0.417,0.282,0,161,,,91
NL,1977,0.318,0.402,0.26,0,162,,,-71
NL,1977,0.313,0.346,0.244,0,162,,,-76
AL,1977,0.344,0.444,0.281,1,162,,,180
AL,1977,0.308,0.352,0.24,0,161,,,-144
NL,1977,0.346,0.448,0.279,1,162,,,179
NL,1977,0.331,0.413,0.274,0,162,,,69
NL,1977,0.324,0.375,0.249,0,162,,,-142
AL,1977,0.312,0.381,0.256,0,162,,,-231
NL,1977,0.323,0.383,0.253,0,162,,,-38
NL,1977,0.33,0.388,0.27,0,162,,,49
AL,1977,0.342,0.405,0.27,0,162,,,110
AL,1977,0.316,0.365,0.252,0,161,,,-217
NL,1976,0.32,0.334,0.245,0,162,,,-80
AL,1976,0.31,0.358,0.243,0,162,,,21
AL,1976,0.324,0.402,0.263,0,162,,,56
AL,1976,0.306,0.318,0.235,0,162,,,-81
NL,1976,0.313,0.356,0.251,0,162,,,-117
AL,1976,0.314,0.349,0.255,0,161,,,-159
NL,1976,0.357,0.424,0.28,1,162,,,224
AL,1976,0.321,0.359,0.263,0,159,,,0
AL,1976,0.315,0.365,0.257,0,161,,,-100
NL,1976,0.322,0.347,0.256,0,162,,,-32
AL,1976,0.327,0.371,0.269,1,162,,,102
NL,1976,0.313,0.349,0.251,0,162,,,65
AL,1976,0.311,0.34,0.246,0,161,,,-85
AL,1976,0.341,0.375,0.274,0,162,,,39
NL,1976,0.291,0.34,0.235,0,162,,,-203
NL,1976,0.319,0.352,0.246,0,162,,,77
AL,1976,0.328,0.389,0.269,1,159,,,155
AL,1976,0.323,0.361,0.246,0,161,,,88
NL,1976,0.338,0.395,0.272,1,162,,,213
NL,1976,0.321,0.391,0.267,0,162,,,78
NL,1976,0.31,0.337,0.247,0,162,,,-92
NL,1976,0.312,0.345,0.246,0,162,,,-91
NL,1976,0.323,0.359,0.26,0,162,,,-42
AL,1976,0.321,0.341,0.25,0,162,,,-36
NL,1975,0.313,0.346,0.244,0,161,,,-156
AL,1975,0.326,0.373,0.252,0,159,,,129
AL,1975,0.344,0.417,0.275,1,160,,,87
AL,1975,0.322,0.328,0.246,0,161,,,-95
NL,1975,0.338,0.368,0.259,0,162,,,-115
AL,1975,0.331,0.358,0.255,0,161,,,-48
NL,1975,0.353,0.401,0.271,1,162,,,254
AL,1975,0.327,0.392,0.261,0,159,,,-15
AL,1975,0.301,0.366,0.249,0,159,,,-216
NL,1975,0.32,0.359,0.254,0,162,,,-47
AL,1975,0.333,0.394,0.261,0,162,,,61
NL,1975,0.325,0.365,0.248,0,162,,,114
AL,1975,0.32,0.389,0.25,0,162,,,-117
AL,1975,0.341,0.386,0.271,0,159,,,-12
NL,1975,0.317,0.348,0.244,0,162,,,-89
NL,1975,0.319,0.361,0.256,0,162,,,21
AL,1975,0.325,0.382,0.264,0,160,,,93
AL,1975,0.333,0.391,0.254,1,162,,,152
NL,1975,0.342,0.402,0.269,0,162,,,41
NL,1975,0.323,0.402,0.263,1,161,,,147
NL,1975,0.31,0.335,0.244,0,162,,,-131
NL,1975,0.333,0.365,0.259,0,161,,,-12
NL,1975,0.327,0.375,0.273,0,163,,,-27
AL,1975,0.33,0.371,0.256,0,162,,,-19
NL,1974,0.319,0.363,0.249,0,163,,,98
AL,1974,0.322,0.37,0.256,1,162,,,47
AL,1974,0.333,0.377,0.264,0,162,,,35
AL,1974,0.321,0.356,0.254,0,163,,,-39
NL,1974,0.327,0.365,0.251,0,162,,,-157
AL,1974,0.33,0.389,0.268,0,163,,,-37
NL,1974,0.343,0.394,0.26,0,163,,,145
AL,1974,0.311,0.37,0.255,0,162,,,-32
AL,1974,0.303,0.366,0.247,0,162,,,-148
NL,1974,0.322,0.378,0.263,0,162,,,21
AL,1974,0.327,0.364,0.259,0,162,,,5
NL,1974,0.342,0.401,0.272,1,162,,,237
AL,1974,0.309,0.369,0.244,0,162,,,-13
AL,1974,0.336,0.378,0.272,0,163,,,4
NL,1974,0.335,0.35,0.254,0,161,,,5
NL,1974,0.311,0.329,0.235,0,162,,,-74
AL,1974,0.324,0.368,0.263,0,162,,,48
AL,1974,0.321,0.373,0.247,1,162,,,138
NL,1974,0.32,0.373,0.261,0,162,,,-25
NL,1974,0.335,0.391,0.274,1,162,,,94
NL,1974,0.302,0.33,0.229,0,162,,,-289
NL,1974,0.322,0.358,0.252,0,162,,,-89
NL,1974,0.331,0.365,0.265,0,161,,,34
AL,1974,0.336,0.377,0.272,0,161,,,-8
NL,1973,0.339,0.427,0.266,0,162,,,25
AL,1973,0.345,0.389,0.266,1,162,,,193
AL,1973,0.338,0.401,0.267,0,162,,,91
AL,1973,0.318,0.348,0.253,0,162,,,-28
NL,1973,0.32,0.357,0.247,0,161,,,-41
AL,1973,0.324,0.372,0.256,0,162,,,-53
NL,1973,0.332,0.383,0.254,1,162,,,120
AL,1973,0.315,0.387,0.256,0,162,,,-146
AL,1973,0.32,0.39,0.254,0,162,,,-32
NL,1973,0.312,0.376,0.251,0,162,,,9
AL,1973,0.339,0.381,0.261,0,162,,,3
NL,1973,0.323,0.371,0.263,0,162,,,110
AL,1973,0.325,0.388,0.253,0,162,,,-23
AL,1973,0.342,0.393,0.27,0,162,,,46
NL,1973,0.34,0.364,0.251,0,162,,,-34
NL,1973,0.315,0.338,0.246,1,161,,,20
AL,1973,0.322,0.378,0.261,0,162,,,31
AL,1973,0.333,0.389,0.26,1,162,,,143
NL,1973,0.31,0.371,0.249,0,162,,,-75
NL,1973,0.315,0.405,0.261,0,162,,,11
NL,1973,0.296,0.351,0.244,0,162,,,-222
NL,1973,0.335,0.407,0.262,0,162,,,37
NL,1973,0.325,0.357,0.259,0,162,,,40
AL,1973,0.318,0.361,0.255,0,162,,,-225
NL,1971,0.312,0.385,0.257,0,162,,,-56
AL,1971,0.347,0.398,0.261,1,158,,,212
AL,1971,0.322,0.397,0.252,0,162,,,24
AL,1971,0.29,0.329,0.231,0,162,,,-65
NL,1971,0.325,0.378,0.258,0,162,,,-11
AL,1971,0.325,0.373,0.25,0,162,,,20
NL,1971,0.3,0.366,0.241,0,162,,,5
AL,1971,0.3,0.342,0.238,0,162,,,-204
AL,1971,0.325,0.405,0.254,0,162,,,56
NL,1971,0.302,0.34,0.24,0,162,,,18
AL,1971,0.313,0.353,0.25,0,161,,,37
NL,1971,0.325,0.37,0.266,0,162,,,76
AL,1971,0.304,0.329,0.229,0,161,,,-75
AL,1971,0.323,0.372,0.26,0,160,,,-16
NL,1971,0.322,0.343,0.246,0,162,,,-107
NL,1971,0.319,0.351,0.249,0,162,,,38
AL,1971,0.328,0.36,0.254,0,162,,,7
AL,1971,0.321,0.384,0.252,1,161,,,127
NL,1971,0.298,0.35,0.233,0,162,,,-130
NL,1971,0.33,0.416,0.274,1,162,,,189
NL,1971,0.293,0.332,0.233,0,161,,,-124
NL,1971,0.329,0.378,0.247,1,162,,,62
NL,1971,0.338,0.385,0.275,0,163,,,40
AL,1971,0.307,0.326,0.23,0,159,,,-123
NL,1970,0.334,0.404,0.27,0,162,,,-36
AL,1970,0.344,0.401,0.257,1,162,,,218
AL,1970,0.335,0.428,0.262,0,162,,,64
AL,1970,0.309,0.363,0.251,0,162,,,1
NL,1970,0.333,0.415,0.259,0,162,,,127
AL,1970,0.315,0.362,0.253,0,162,,,-189
NL,1970,0.336,0.436,0.27,1,162,,,94
AL,1970,0.314,0.394,0.249,0,162,,,-26
AL,1970,0.322,0.374,0.238,0,162,,,-65
NL,1970,0.332,0.391,0.259,0,162,,,-19
AL,1970,0.309,0.348,0.244,0,162,,,-94
NL,1970,0.334,0.382,0.27,0,161,,,65
AL,1970,0.319,0.358,0.242,0,163,,,-138
AL,1970,0.327,0.403,0.262,1,162,,,139
NL,1970,0.323,0.365,0.237,0,162,,,-120
NL,1970,0.333,0.37,0.249,0,162,,,65
AL,1970,0.324,0.365,0.251,0,163,,,68
AL,1970,0.325,0.392,0.249,0,162,,,85
NL,1970,0.305,0.356,0.238,0,161,,,-136
NL,1970,0.325,0.406,0.27,1,162,,,65
NL,1970,0.312,0.391,0.246,0,162,,,-107
NL,1970,0.351,0.409,0.262,0,162,,,5
NL,1970,0.331,0.379,0.263,0,162,,,-3
AL,1970,0.321,0.358,0.238,0,162,,,-63
NL,1969,0.321,0.38,0.258,1,162,,,60
AL,1969,0.343,0.414,0.265,1,162,,,262
AL,1969,0.333,0.415,0.251,0,162,,,7
AL,1969,0.3,0.319,0.23,0,163,,,-124
NL,1969,0.323,0.384,0.253,0,163,,,109
AL,1969,0.32,0.357,0.247,0,162,,,-98
NL,1969,0.335,0.422,0.277,0,163,,,30
AL,1969,0.307,0.345,0.237,0,161,,,-144
AL,1969,0.316,0.387,0.242,0,162,,,100
NL,1969,0.33,0.352,0.24,0,162,,,8
AL,1969,0.309,0.338,0.24,0,163,,,-102
NL,1969,0.315,0.359,0.254,0,162,,,84
AL,1969,0.34,0.408,0.268,1,162,,,172
NL,1969,0.31,0.359,0.24,0,162,,,-209
NL,1969,0.311,0.351,0.242,1,162,,,91
AL,1969,0.308,0.344,0.235,0,162,,,-25
AL,1969,0.329,0.376,0.249,0,162,,,62
NL,1969,0.312,0.372,0.241,0,162,,,-100
NL,1969,0.334,0.398,0.277,0,162,,,73
NL,1969,0.285,0.329,0.225,0,162,,,-278
AL,1969,0.316,0.346,0.234,0,163,,,-160
NL,1969,0.334,0.361,0.242,0,162,,,77
NL,1969,0.316,0.359,0.253,0,162,,,55
AL,1969,0.33,0.378,0.251,0,162,,,50
NL,1968,0.307,0.339,0.252,0,163,,,-35
AL,1968,0.304,0.352,0.225,0,162,,,82
AL,1968,0.313,0.352,0.236,0,162,,,3
AL,1968,0.291,0.318,0.227,0,162,,,-117
NL,1968,0.298,0.366,0.242,0,163,,,1
AL,1968,0.284,0.311,0.228,0,162,,,-64
NL,1968,0.32,0.389,0.273,0,163,,,17
AL,1968,0.293,0.327,0.234,0,162,,,12
AL,1968,0.307,0.385,0.235,1,164,,,179
NL,1968,0.298,0.317,0.231,0,162,,,-78
NL,1968,0.289,0.319,0.23,0,162,,,-39
AL,1968,0.299,0.35,0.237,0,162,,,16
NL,1968,0.281,0.315,0.228,0,163,,,-26
AL,1968,0.292,0.318,0.214,0,164,,,5
AL,1968,0.304,0.343,0.24,0,163,,,25
NL,1968,0.294,0.333,0.233,0,162,,,-72
NL,1968,0.306,0.343,0.252,0,163,,,51
NL,1968,0.307,0.341,0.239,0,163,,,70
NL,1968,0.298,0.346,0.249,1,162,,,111
AL,1968,0.287,0.336,0.224,0,161,,,-141
NL,1967,0.307,0.372,0.24,0,162,,,-9
AL,1967,0.31,0.372,0.24,0,161,,,62
AL,1967,0.321,0.395,0.255,1,162,,,108
AL,1967,0.301,0.349,0.238,0,161,,,-20
NL,1967,0.316,0.378,0.251,0,162,,,78
AL,1967,0.291,0.32,0.225,0,162,,,40
NL,1967,0.297,0.372,0.248,0,162,,,41
AL,1967,0.293,0.359,0.235,0,162,,,-54
AL,1967,0.325,0.376,0.243,0,163,,,96
NL,1967,0.317,0.364,0.249,0,162,,,-116
AL,1967,0.296,0.33,0.233,0,161,,,-127
NL,1967,0.301,0.332,0.236,0,162,,,-76
AL,1967,0.309,0.369,0.24,0,164,,,81
NL,1967,0.288,0.325,0.238,0,162,,,-174
AL,1967,0.296,0.317,0.225,0,163,,,-99
NL,1967,0.313,0.357,0.242,0,162,,,31
NL,1967,0.324,0.38,0.277,0,163,,,-14
NL,1967,0.313,0.372,0.245,0,162,,,101
NL,1967,0.32,0.379,0.263,1,161,,,138
AL,1967,0.288,0.326,0.223,0,161,,,-87
NL,1966,0.326,0.424,0.263,0,163,,,99
AL,1966,0.324,0.409,0.258,1,160,,,154
AL,1966,0.31,0.376,0.24,0,162,,,-76
AL,1966,0.303,0.354,0.232,0,162,,,-39
NL,1966,0.313,0.38,0.254,0,162,,,-165
AL,1966,0.297,0.331,0.231,0,163,,,57
NL,1966,0.309,0.395,0.26,0,160,,,-10
AL,1966,0.297,0.36,0.237,0,162,,,-12
AL,1966,0.321,0.406,0.251,0,162,,,21
NL,1966,0.318,0.365,0.255,0,163,,,-83
AL,1966,0.294,0.337,0.236,0,160,,,-84
NL,1966,0.314,0.362,0.256,1,162,,,116
AL,1966,0.316,0.382,0.249,0,162,,,82
NL,1966,0.301,0.342,0.239,0,161,,,-174
AL,1966,0.299,0.374,0.235,0,160,,,-1
NL,1966,0.322,0.378,0.258,0,162,,,56
NL,1966,0.329,0.428,0.279,0,162,,,118
NL,1966,0.303,0.392,0.248,0,161,,,49
NL,1966,0.298,0.368,0.251,0,162,,,-6
AL,1966,0.295,0.355,0.234,0,159,,,-102
AL,1965,0.307,0.363,0.238,0,162,,,63
AL,1965,0.327,0.4,0.251,0,162,,,-122
AL,1965,0.297,0.341,0.239,0,162,,,-42
NL,1965,0.307,0.358,0.238,0,164,,,-88
AL,1965,0.315,0.364,0.246,0,162,,,92
NL,1965,0.339,0.439,0.273,0,162,,,121
AL,1965,0.315,0.379,0.25,0,162,,,50
AL,1965,0.312,0.374,0.238,0,162,,,78
NL,1965,0.305,0.34,0.237,0,162,,,-142
AL,1965,0.309,0.358,0.24,0,162,,,-170
NL,1965,0.312,0.335,0.245,1,162,,,87
AL,1965,0.324,0.399,0.254,1,162,,,174
NL,1965,0.31,0.416,0.256,0,162,,,75
NL,1965,0.277,0.327,0.221,0,164,,,-257
AL,1965,0.299,0.364,0.235,0,162,,,7
NL,1965,0.313,0.384,0.25,0,162,,,-13
NL,1965,0.317,0.382,0.265,0,163,,,95
NL,1965,0.313,0.385,0.252,0,163,,,89
NL,1965,0.314,0.371,0.254,0,162,,,33
AL,1965,0.304,0.35,0.228,0,162,,,-130
AL,1964,0.316,0.387,0.248,0,163,,,112
AL,1964,0.322,0.416,0.258,0,162,,,-105
NL,1964,0.314,0.39,0.251,0,162,,,-75
AL,1964,0.32,0.353,0.247,0,162,,,141
NL,1964,0.308,0.372,0.249,0,163,,,94
AL,1964,0.312,0.38,0.247,0,164,,,-4
AL,1964,0.319,0.395,0.253,0,163,,,21
NL,1964,0.285,0.315,0.229,0,162,,,-133
AL,1964,0.311,0.379,0.239,0,163,,,-215
AL,1964,0.304,0.344,0.242,0,162,,,-7
NL,1964,0.305,0.34,0.25,0,164,,,42
AL,1964,0.322,0.427,0.252,0,163,,,59
NL,1964,0.333,0.418,0.272,0,162,,,59
NL,1964,0.296,0.348,0.246,0,163,,,-207
AL,1964,0.317,0.387,0.253,1,164,,,153
NL,1964,0.315,0.391,0.258,0,162,,,61
NL,1964,0.315,0.389,0.264,0,162,,,27
NL,1964,0.31,0.382,0.246,0,162,,,69
NL,1964,0.324,0.392,0.272,1,162,,,63
AL,1964,0.299,0.348,0.231,0,162,,,-155
AL,1963,0.31,0.38,0.249,0,162,,,23
AL,1963,0.312,0.4,0.252,0,161,,,-38
NL,1963,0.297,0.363,0.238,0,162,,,-8
AL,1963,0.323,0.365,0.25,0,162,,,139
NL,1963,0.31,0.371,0.246,0,162,,,54
AL,1963,0.301,0.381,0.239,0,162,,,-67
AL,1963,0.327,0.382,0.252,0,162,,,-3
NL,1963,0.283,0.301,0.22,0,162,,,-176
AL,1963,0.313,0.353,0.247,0,162,,,-89
AL,1963,0.309,0.354,0.25,0,161,,,-63
NL,1963,0.309,0.357,0.251,1,163,,,90
AL,1963,0.325,0.43,0.255,0,161,,,165
NL,1963,0.312,0.37,0.244,0,163,,,74
NL,1963,0.285,0.315,0.219,0,162,,,-273
AL,1963,0.309,0.403,0.252,1,161,,,167
NL,1963,0.306,0.381,0.252,0,162,,,64
NL,1963,0.309,0.359,0.25,0,162,,,-28
NL,1963,0.316,0.414,0.258,0,162,,,84
NL,1963,0.326,0.403,0.271,0,162,,,119
AL,1963,0.293,0.351,0.227,0,162,,,-234
AL,1962,0.314,0.387,0.248,0,162,,,-28
AL,1962,0.324,0.403,0.258,0,160,,,-49
NL,1962,0.317,0.377,0.253,0,162,,,-195
AL,1962,0.334,0.372,0.257,0,162,,,49
NL,1962,0.332,0.417,0.27,0,162,,,117
AL,1962,0.312,0.388,0.245,0,162,,,-63
AL,1962,0.33,0.411,0.248,0,161,,,66
NL,1962,0.31,0.351,0.246,0,162,,,-125
AL,1962,0.332,0.386,0.263,0,162,,,-92
AL,1962,0.325,0.38,0.25,0,162,,,12
NL,1962,0.337,0.4,0.268,0,165,,,145
AL,1962,0.338,0.412,0.26,0,163,,,85
NL,1962,0.326,0.403,0.252,0,162,,,65
NL,1962,0.318,0.361,0.24,0,161,,,-331
AL,1962,0.337,0.426,0.267,1,162,,,137
NL,1962,0.33,0.39,0.26,0,161,,,-54
NL,1962,0.321,0.394,0.268,0,161,,,80
NL,1962,0.341,0.441,0.278,1,165,,,188
NL,1962,0.335,0.394,0.271,0,163,,,110
AL,1962,0.308,0.373,0.25,0,162,,,-117
